,duration,srcIp,srcPort,dstIp,dstPort,service,srcBytes,dstBytes,flag,land,urgent,ja3,ja3Ver,ja3Cipher,ja3Extension,ja3Ec,ja3Ecpf,blacklisted
364,77.616174000,10.11.11.200,49265,209.15.36.23,443,6,1750,4451,2,0,0,4d7a28d6f2263ed61de88ca66eb011e3,771,60-47-61-53-5-10-49191-49171-49172-49195-49187-49196-49188-49161-49162-64-50-106-56-19-4-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,65281-0-10-11-13-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,23-24-0-0-0-0,0-0,1
365,77.586520000,10.11.11.200,49266,108.177.10.157,443,6,1570,3935,0,0,0,4d7a28d6f2263ed61de88ca66eb011e3,771,60-47-61-53-5-10-49191-49171-49172-49195-49187-49196-49188-49161-49162-64-50-106-56-19-4-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,65281-0-10-11-13-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,23-24-0-0-0-0,0-0,1
366,77.586726000,10.11.11.200,49267,108.177.10.157,443,6,823,3246,0,0,0,4d7a28d6f2263ed61de88ca66eb011e3,771,60-47-61-53-5-10-49191-49171-49172-49195-49187-49196-49188-49161-49162-64-50-106-56-19-4-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,65281-0-10-11-13-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,23-24-0-0-0-0,0-0,1
367,77.549431000,10.11.11.200,49268,34.198.217.170,443,6,1645,6367,1,0,0,4d7a28d6f2263ed61de88ca66eb011e3,771,60-47-61-53-5-10-49191-49171-49172-49195-49187-49196-49188-49161-49162-64-50-106-56-19-4-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,65281-0-10-11-13-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,23-24-0-0-0-0,0-0,1
368,77.551295000,10.11.11.200,49269,34.198.217.170,443,6,986,5828,1,0,0,4d7a28d6f2263ed61de88ca66eb011e3,771,60-47-61-53-5-10-49191-49171-49172-49195-49187-49196-49188-49161-49162-64-50-106-56-19-4-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,65281-0-10-11-13-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,23-24-0-0-0-0,0-0,1
369,77.304481000,10.11.11.200,49270,209.15.36.23,443,6,2447,4881,2,0,0,4d7a28d6f2263ed61de88ca66eb011e3,771,60-47-61-53-5-10-49191-49171-49172-49195-49187-49196-49188-49161-49162-64-50-106-56-19-4-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,65281-0-10-11-13-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,23-24-0-0-0-0,0-0,1
370,77.289944000,10.11.11.200,49271,209.15.36.23,443,6,2479,4897,2,0,0,4d7a28d6f2263ed61de88ca66eb011e3,771,60-47-61-53-5-10-49191-49171-49172-49195-49187-49196-49188-49161-49162-64-50-106-56-19-4-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,65281-0-10-11-13-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,23-24-0-0-0-0,0-0,1
371,783.129365000,10.11.11.200,49272,52.36.13.119,443,6,12799,21818,0,0,0,4d7a28d6f2263ed61de88ca66eb011e3,771,60-47-61-53-5-10-49191-49171-49172-49195-49187-49196-49188-49161-49162-64-50-106-56-19-4-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,65281-0-10-11-13-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,23-24-0-0-0-0,0-0,1
372,73.533250000,10.11.11.200,49273,35.186.194.58,443,6,2144,6979,0,0,0,4d7a28d6f2263ed61de88ca66eb011e3,771,60-47-61-53-5-10-49191-49171-49172-49195-49187-49196-49188-49161-49162-64-50-106-56-19-4-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,65281-0-10-11-13-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,23-24-0-0-0-0,0-0,1
373,3.929577000,10.11.11.217,62573,23.2.165.139,443,6,1765,4523,0,0,0,6fa3244afc6bb6f9fad207b6b52af26b,771,4865-4866-4867-49196-49195-49188-49187-49162-49161-52393-49200-49199-49192-49191-49172-49171-52392-157-156-61-60-53-47-49160-49170-10-0-0-0-0-0-0-0-0-0-0,65281-0-23-13-5-18-16-11-51-45-43-10-21-0-0-0-0-0-0-0-0-0-0-0-0-0,29-23-24-25-0-0,0-0,0
374,63.300959000,10.11.11.200,49274,98.138.71.149,80,6,126,120,1,0,0,0,0,[],[],[],[],0
375,73.358285000,10.11.11.200,49275,98.138.71.149,80,6,866,952,1,0,0,0,0,[],[],[],[],0
376,0.111037000,10.11.11.121,37058,74.125.30.94,80,6,565,440,0,0,0,0,0,[],[],[],[],0
377,69.504012000,10.11.11.200,49276,34.194.61.181,80,6,919,5035,0,0,0,0,0,[],[],[],[],0
378,0.197385000,10.11.11.121,43712,64.233.178.105,443,6,1147,3680,0,0,0,d8c87b9bfde38897979e41242626c2f3,771,49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,65281-0-23-35-13-5-16-11-10-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,29-23-24-0-0-0,0-0,0
379,0.623917000,10.11.11.121,41374,27.0.236.160,5242,6,878,657,0,0,0,0,0,[],[],[],[],0
380,0.169117000,10.11.11.121,38016,64.233.178.99,443,6,1147,3681,0,0,0,d8c87b9bfde38897979e41242626c2f3,771,49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,65281-0-23-35-13-5-16-11-10-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,29-23-24-0-0-0,0-0,0
381,93.555311000,10.11.11.121,50148,99.80.223.1,5223,6,1554,3191,0,0,0,c25475db6faedfccaf8b67a3fc439e78,771,49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,65281-23-13-5-11-10-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,29-23-24-0-0-0,0-0,0
382,89.982543000,10.11.11.121,42210,113.29.141.91,5242,6,1206,919,0,0,0,0,0,[],[],[],[],0
383,7.526563000,10.11.11.121,33326,64.233.178.147,443,6,3013,2765,0,0,0,0,0,[],[],[],[],0
